Date,Banque,Libellé,Montant,Tag,Type
"2024""/11/""30",CMB,Virement Lanie,14.00€,restau,remboursement
"2024""/11/""29",CMB,Salaire Arkea,1809.79€,salaire
"2024""/11/""28",CMB,Génération mutuelle,7.95€,santé,remboursement
"2024""/11/""21",CMB,Macdo,-21.20€,fastfood
"2024""/11/""21",CMB,Virement Steph,30.00€,cadeau,remboursement
"2024""/11/""20",CMB,Machine à café Arkéa,-0.80€,bouffe
"2024""/11/""20",CMB,Virement Medi,20.00€,cadeau,remboursement
"2024""/11/""18",CMB,Paypal: remboursement secret lairs,134.01€,magic,remboursement
"2024""/11/""18",CMB,Paypal: remboursement secret lairs,0.01€,magic,remboursement
"2024""/11/""08",CMB,Génération mutuelle,7.95€,santé,remboursement
"2024""/11/""07",CMB,Cotisation eurocompte,-4.90€,banque
"2024""/11/""05",CMB,Assurrance prêt,-14.72€,loyer
"2024""/11/""05",CMB,Echeance prêt principal,-544.26€,loyer
"2024""/11/""05",CMB,Echeance prêt taux zéro,-127.79€,loyer
"2024""/11/""04",CMB,Basic Fit,-18.99€,sport
"2024""/11/""01",CMB,Mensualité appel de fond Syndic,-89.20€,loyer
