Date,Banque,Libellé,Montant,Tag,Type
"2025""/09/""30",CMB,PayPal: Marvel Snao,-5.99€,snap
"2025""/09/""29",CMB,PayPal: Nintendo,-29.99€,culture
"2025""/09/""29",CMB,Vers compte commun,-2000.00€,caché
"2025""/09/""29",CMB,Salaire Arkea,2822.72€,salaire
"2025""/09/""19",CMB,Compte Commun,200.00€,caché
"2025""/09/""17",CMB,PayPal: Asylum comics,-45.58€,culture
"2025""/09/""17",CMB,Machine à café Arkéa,-0.35€,bouffe
"2025""/09/""16",CMB,PayPal: magic sld sonic,-90.00€,magic
"2025""/09/""15",CMB,Super U Keredern,-86.78€,bouffe
"2025""/09/""14",CMB,Compte Commun,400.00€,caché
"2025""/09/""13",CMB,Temple du jeu Brest,-54.40€,culture
"2025""/09/""13",CMB,Compte Commun,250.00€,caché
"2025""/09/""10",CMB,Decathlon,-71.94€,sport
"2025""/09/""10",CMB,Leroy Merlin,-19.87€,matériel
"2025""/09/""10",CMB,Machine à café Arkéa,-0.35€,bouffe
"2025""/09/""10",CMB,Machine à café Arkéa,-0.35€,bouffe
"2025""/09/""08",CMB,Cotisation eurocompte,-5.04€,banque
"2025""/09/""08",CMB,Basic Fit,-19.99€,sport
"2025""/09/""05",CMB,Forever : Assurance prêt,-27.57€,loyer
"2025""/09/""05",CMB,Assurance habitation,-16.64€,loyer
"2025""/09/""05",CMB,Mensualité appel de fond Syndic,-303.72€,loyer
"2025""/09/""05",CMB,Echeance prêt principal,-496.79€,loyer
"2025""/09/""05",CMB,Echeance prêt taux zéro,-123.62€,loyer
"2025""/09/""04",CMB,PayPal: marvel snap,-10.99€,snap
"2025""/09/""04",CMB,Wero Elie B,-52.00€,cadeau
"2025""/09/""01",CMB,Mensualité appel de fond Syndic,-89.20€,loyer
"2025""/08/""29",CMB,PayPal:terrain fichier 3d,-7.20€,peinture
"2025""/08/""29",CMB,Vers compte commun,-1500.00€,caché
"2025""/08/""29",CMB,Salaire Arkea,1863.47€,salaire
"2025""/08/""28",CMB,PayPal:peinture,-80.13€,peinture
"2025""/08/""28",CMB,Mutuelle Génération,9.00€,santé,remboursement
"2025""/08/""26",CMB,PayPal:mousse mcp,-69.98€,peinture
"2025""/08/""26",CMB,PayPal:figurine proxy,-20.90€,peinture
"2025""/08/""26",CMB,PayPal:figurines mcp,-66.40€,peinture
"2025""/08/""20",CMB,PayPal:marvel snap,-5.99€,snap
"2025""/08/""19",CMB,Vers compte commun,-300.00€,caché
"2025""/08/""19",CMB,Virement Steph,30.00€,cadeau,remboursement
"2025""/08/""18",CMB,Vers compte commun,-500.00€,caché
"2025""/08/""14",CMB,PayPal:snap,-5.99€,snap
"2025""/08/""12",CMB,PayPal:snap,-10.99€,snap
"2025""/08/""07",CMB,Cotisation eurocompte,-5.04€,banque
"2025""/08/""11",CMB,Basic Fit,-19.99€,sport
"2025""/08/""08",CMB,PayPal:hellofresh,-99.99€,bouffe
"2025""/08/""07",CMB,Virement Steph,30.00€,cadeau,remboursement
"2025""/08/""05",CMB,Forever : Assurance prêt,-27.57€,loyer
"2025""/08/""05",CMB,Assurance habitation,-16.64€,loyer
"2025""/08/""05",CMB,Echeance prêt principal,-496.79€,loyer
"2025""/08/""05",CMB,Echeance prêt taux zéro,-123.62€,loyer
"2025""/08/""04",CMB,Virement Dilan,45.00€,magic,remboursement
"2025""/08/""01",CMB,PayPal:hellofresh,-81.39€,bouffe
"2025""/08/""01",CMB,Mensualité appel de fond Syndic,-89.20€,loyer
"2025""/07/""30",CMB,Salaire Arkea,1998.47€,salaire
"2025""/07/""29",CMB,PayPal:snap,-11.99€,snap
"2025""/07/""28",CMB,PayPal:hellofresh,-66.13€,bouffe
"2025""/07/""26",CMB,Vers compte commun,-200.00€,caché
"2025""/07/""21",CMB,PayPal:hellofresh,-76.84€,bouffe
"2025""/07/""18",CMB,Vers compte commun,-500.00€,caché
"2025""/07/""17",CMB,Virement PEE,785.63€,salaire
"2025""/07/""16",CMB,PayPal:zoofamily,-69.95€,cadeau
"2025""/07/""14",CMB,PayPal:hellofresh,-85.50€,bouffe
"2025""/07/""14",CMB,Basic Fit,-19.99€,sport
"2025""/07/""13",CMB,Virement Fanny,26.00€,autre,remboursement
"2025""/07/""01",CMB,"""INT DEB+COM TRIM 02 TAEG 12,0740""",-0.91€,banque
"2025""/07/""01",CMB,"""RETROCES. INT DEB+COM TRIM02""",0.27€,banque
"2025""/07/""10",CMB,PayPal:snap,-10.99€,snap
"2025""/07/""10",CMB,PayPal:snap,-5.99€,snap
"2025""/07/""08",CMB,Cotisation eurocompte,-5.04€,banque
"2025""/07/""09",CMB,PayPal:remboursement abo chesscom,124.99€,culture,remboursement
"2025""/07/""09",CMB,Mutuelle Génération,7.95€,santé,remboursement
"2025""/07/""07",CMB,Forever : Assurance prêt,-27.57€,loyer
"2025""/07/""07",CMB,Assurance habitation,-16.64€,loyer
"2025""/07/""07",CMB,Virement Dilan,60.00€,culture,remboursement
"2025""/07/""05",CMB,Echeance prêt principal,-496.79€,loyer
"2025""/07/""05",CMB,Echeance prêt taux zéro,-123.62€,loyer
"2025""/07/""03",CMB,Mutuelle Génération,9.00€,santé,remboursement
"2025""/07/""02",CMB,Vinted,-61.33€,culture
"2025""/07/""01",CMB,PayPal:snap,-22.99€,snap
"2025""/07/""01",CMB,Mensualité appel de fond Syndic,-89.20€,loyer
